id,text,stars,date,likes,dislikes,user_id,title_id
1,"I absolutely loved this movie! The acting was superb, the plot was engaging, and the cinematography was stunning. Highly recommended!",5,2022-12-05,10.0,2.0,1.0,tt0098030
2,"This film was a masterpiece. The storyline kept me hooked from start to finish, and the performances were outstanding. Definitely worth watching!",4,2023-01-20,8.0,1.0,2.0,tt0103046
3,"I couldn't tear my eyes away from the screen! The characters were so well-developed, and the emotional depth of the story was remarkable. A must-watch!",5,2022-12-28,12.0,3.0,3.0,tt0097631
4,"A solid movie with great performances. While it may not be groundbreaking, it's definitely worth a watch for its compelling storytelling.",3,2023-01-08,6.0,0.0,4.0,tt0103050
5,"Not bad at all. The visuals were impressive, and the action sequences were thrilling. However, the pacing felt a bit off at times.",3,2022-12-17,5.0,1.0,5.0,tt0100754
6,"Thoroughly enjoyed every minute of this film. The humor was spot-on, and the characters were incredibly charming. A delightful watch!",4,2023-01-10,9.0,2.0,6.0,tt0098182
7,"This movie was okay, but it didn't quite live up to the hype for me. The story felt a bit predictable, and some of the dialogue was cheesy.",2,2022-12-30,3.0,5.0,7.0,tt0098634
8,"Disappointing. The plot was thin, and the characters felt one-dimensional. Not worth the time investment, in my opinion.",1,2023-01-01,1.0,7.0,8.0,tt0096025
9,"I wanted to like this movie, but it fell short of my expectations. The pacing was off, and the ending left me feeling unsatisfied.",2,2023-01-02,2.0,6.0,9.0,tt0015724
10,"Didn't enjoy it at all. The story was weak, and the performances felt forced. Would not recommend.",1,2022-12-15,0.0,10.0,10.0,tt0098958
11,"Absolutely brilliant! This movie exceeded all my expectations. The performances were outstanding, and the story was deeply moving. A must-see for sure.",5,2023-01-25,15.0,2.0,11.0,tt0067460
12,"An epic cinematic experience! The visuals were breathtaking, and the storytelling was captivating. Highly recommended for any film enthusiast.",4,2023-01-03,12.0,1.0,12.0,tt0099139
13,Wow! What a ride. This film kept me on the edge of my seat from start to finish. The twists and turns kept me guessing until the very end.,5,2023-01-11,18.0,3.0,13.0,tt0098980
14,"A solid movie with strong performances all around. While it may not be groundbreaking, it's definitely worth a watch for its entertaining story.",3,2023-01-12,8.0,0.0,14.0,tt0098979
15,"Enjoyed it more than I expected. The action scenes were thrilling, and the special effects were top-notch. A fun watch for fans of the genre.",4,2022-12-27,10.0,1.0,15.0,tt0088656
16,"Entertaining from start to finish. The humor was well-timed, and the characters were memorable. A great way to spend an evening!",4,2022-12-31,11.0,2.0,16.0,tt0099033
17,"Decent movie, but it didn't leave a lasting impression. The plot felt a bit cliché, and some of the dialogue was cheesy.",3,2023-01-05,7.0,4.0,17.0,tt0100155
18,"Overall, it was an enjoyable experience. The action sequences were well-executed, but the story lacked depth.",3,2023-01-20,6.0,3.0,18.0,tt0015414
19,"Had high hopes for this movie, but it fell short for me. The pacing was off, and some of the characters felt underdeveloped.",2,2023-01-09,3.0,7.0,19.0,tt0098514
20,"Not my cup of tea. The story felt disjointed, and the performances were lackluster. Wouldn't recommend.",2,2022-12-20,1.0,8.0,20.0,tt0100818
21,"Incredible storytelling! This movie had me captivated from start to finish. The characters were so well-written, and the plot twists were unexpected.",5,2023-01-28,16.0,1.0,21.0,tt0100658
22,"A visually stunning film with a powerful message. The performances were outstanding, and the cinematography was breathtaking.",4,2023-01-07,11.0,2.0,22.0,tt0096346
23,"Absolutely loved it! This movie had everything - action, drama, and heart. It's definitely a new favorite of mine.",5,2023-01-14,20.0,3.0,23.0,tt0093309
24,"Decent movie with solid performances, but it lacked that extra spark to make it truly memorable.",3,2023-01-19,8.0,1.0,24.0,tt0095783
25,"Enjoyed it for what it was. The special effects were impressive, and the storyline kept me engaged throughout.",3,2023-01-16,7.0,2.0,25.0,tt0101835
26,Funny and heartwarming. This film was a delightful surprise. Highly recommend it for a good laugh!,4,2023-01-29,13.0,1.0,26.0,tt0098064
27,"Just okay. The humor felt forced, and the plot was predictable. It's worth a watch if you're a fan of the genre, but don't expect anything groundbreaking.",2,2023-01-03,4.0,6.0,27.0,tt0099018
28,"Disappointing. I had high hopes for this movie, but it failed to deliver. The story felt rushed, and the characters were forgettable.",1,2023-01-26,2.0,12.0,28.0,tt0095111
29,"Not my cup of tea. The pacing was off, and the characters felt one-dimensional. Wouldn't recommend it.",2,2023-01-08,0.0,10.0,29.0,tt0099017
30,"Absolutely terrible. The plot was nonsensical, and the acting was atrocious. Steer clear of this one.",1,2022-12-30,0.0,15.0,30.0,tt0000977
31,"Incredible film! The storytelling was masterful, and the performances were outstanding. A must-watch for any cinephile.",5,2023-01-15,18.0,0.0,31.0,tt0096767
32,"A cinematic masterpiece! The visuals were breathtaking, and the soundtrack was mesmerizing. An unforgettable experience.",5,2023-01-09,15.0,1.0,32.0,tt0100770
33,"Wow! This movie blew me away. The twists and turns kept me on the edge of my seat, and the ending left me speechless.",5,2023-01-28,25.0,2.0,33.0,tt0097720
34,"Decent movie with solid performances, but it didn't leave a lasting impression on me.",3,2023-01-18,9.0,3.0,34.0,tt0098199
35,"Enjoyed it overall, but it had its flaws. The pacing felt a bit slow at times, and some of the dialogue felt forced.",3,2023-01-22,8.0,2.0,35.0,tt0096811
36,Entertaining and charming. This film put a smile on my face from start to finish. A feel-good movie for sure!,4,2023-01-05,12.0,1.0,36.0,tt0099005
37,"An okay movie, but it didn't fully live up to the hype. The story felt a bit cliché, and some of the humor fell flat.",3,2023-01-11,6.0,4.0,37.0,tt0102424
38,"Disappointing. The plot was predictable, and the characters felt underdeveloped. Not worth the hype, in my opinion.",2,2023-01-24,3.0,7.0,38.0,tt0101729
